ticker,status,first_date,last_date,row_count,attempt_count,last_error
NVDA,success,2016-01-04,2026-08-06,2663,2,
AAPL,success,2016-01-04,2026-08-06,2663,2,
GOOGL,success,2016-01-04,2026-08-06,2663,2,
GOOG,success,2016-01-04,2026-08-06,2663,2,
MSFT,success,2016-01-04,2026-08-06,2663,2,
AMZN,success,2016-01-04,2026-08-06,2663,2,
AVGO,success,2016-01-04,2026-08-06,2663,2,
META,success,2016-01-04,2026-08-06,2663,2,
SPCX,success,2026-06-12,2026-08-06,38,2,
TSLA,success,2016-01-04,2026-08-06,2663,2,
BRK-B,success,2016-01-04,2026-08-06,2663,2,
BRK-A,success,2016-01-04,2026-08-06,2663,2,
LLY,success,2016-01-04,2026-08-06,2663,2,
MU,success,2016-01-04,2026-08-06,2663,2,
JPM,success,2016-01-04,2026-08-06,2663,2,
WMT,success,2016-01-04,2026-08-06,2663,2,
AMD,success,2016-01-04,2026-08-06,2663,2,
XOM,success,2016-01-04,2026-08-06,2663,2,
JNJ,success,2016-01-04,2026-08-06,2663,2,
INTC,success,2016-01-04,2026-08-06,2663,2,
MA,success,2016-01-04,2026-08-06,2663,2,
CSCO,success,2016-01-04,2026-08-06,2663,2,
BAC,success,2016-01-04,2026-08-06,2663,2,
ABBV,success,2016-01-04,2026-08-06,2663,2,
AMAT,success,2016-01-04,2026-08-06,2663,2,
COST,success,2016-01-04,2026-08-06,2663,2,
ORCL,success,2016-01-04,2026-08-06,2663,2,
CAT,success,2016-01-04,2026-08-06,2663,2,
GE,success,2016-01-04,2026-08-06,2663,2,
LRCX,success,2016-01-04,2026-08-06,2663,2,
PLTR,success,2020-09-30,2026-08-06,1469,2,
UNH,success,2016-01-04,2026-08-06,2663,2,
KO,success,2016-01-04,2026-08-06,2663,2,
CVX,success,2016-01-04,2026-08-06,2663,2,
HSBC,success,2016-01-04,2026-08-06,2663,2,
HD,success,2016-01-04,2026-08-06,2663,2,
MS,success,2016-01-04,2026-08-06,2663,2,
PG,success,2016-01-04,2026-08-06,2663,2,
MRK,success,2016-01-04,2026-08-06,2663,2,
GS,success,2016-01-04,2026-08-06,2663,2,
NFLX,success,2016-01-04,2026-08-06,2663,2,
RTX,success,2016-01-04,2026-08-06,2663,2,
DELL,success,2016-08-17,2026-08-06,2506,2,
PANW,success,2016-01-04,2026-08-06,2663,2,
PM,success,2016-01-04,2026-08-06,2663,2,
RY,success,2016-01-04,2026-08-06,2663,2,
NVS,success,2016-01-04,2026-08-06,2663,2,
GEV,success,2024-03-27,2026-08-06,592,2,
WFC,success,2016-01-04,2026-08-06,2663,2,
TXN,success,2016-01-04,2026-08-06,2663,2,
MUFG,success,2016-01-04,2026-08-06,2663,2,
KLAC,success,2016-01-04,2026-08-06,2663,2,
AZN,success,2016-01-04,2026-08-06,2663,2,
ANET,success,2016-01-04,2026-08-06,2663,2,
AXP,success,2016-01-04,2026-08-06,2663,2,
C,success,2016-01-04,2026-08-06,2663,2,
LIN,success,2016-01-04,2026-08-06,2663,2,
IBM,success,2016-01-04,2026-08-06,2663,2,
TM,success,2016-01-04,2026-08-06,2663,2,
AMGN,success,2016-01-04,2026-08-06,2663,2,
CRWD,success,2019-06-12,2026-08-06,1798,2,
TMO,success,2016-01-04,2026-08-06,2663,2,
APH,success,2016-01-04,2026-08-06,2663,2,
TD,success,2016-01-04,2026-08-06,2663,2,
SNDK,success,2025-02-13,2026-08-06,371,2,
NVO,success,2016-01-04,2026-08-06,2663,2,
MCD,success,2016-01-04,2026-08-06,2663,2,
VZ,success,2016-01-04,2026-08-06,2663,2,
STX,success,2016-01-04,2026-08-06,2663,2,
BA,success,2016-01-04,2026-08-06,2663,2,
PEP,success,2016-01-04,2026-08-06,2663,2,
MRVL,success,2016-01-04,2026-08-06,2663,2,
TTE,success,2016-01-04,2026-08-06,2663,2,
SCHW,success,2016-01-04,2026-08-06,2663,2,
SHOP,success,2016-01-04,2026-08-06,2663,2,
TMUS,success,2016-01-04,2026-08-06,2663,2,
BLK,success,2016-01-04,2026-08-06,2663,2,
ADI,success,2016-01-04,2026-08-06,2663,2,
ABT,success,2016-01-04,2026-08-06,2663,2,
NEE,success,2016-01-04,2026-08-06,2663,2,
WDC,success,2016-01-04,2026-08-06,2663,2,
DIS,success,2016-01-04,2026-08-06,2663,2,
TJX,success,2016-01-04,2026-08-06,2663,2,
UBS,success,2016-01-04,2026-08-06,2663,2,
UNP,success,2016-01-04,2026-08-06,2663,2,
ETN,success,2016-01-04,2026-08-06,2663,2,
WELL,success,2016-01-04,2026-08-06,2663,2,
BX,success,2016-01-04,2026-08-06,2663,2,
QCOM,success,2016-01-04,2026-08-06,2663,2,
DE,success,2016-01-04,2026-08-06,2663,2,
RIO,success,2016-01-04,2026-08-06,2663,2,
SCCO,success,2016-01-04,2026-08-06,2663,2,
GILD,success,2016-01-04,2026-08-06,2663,2,
BKNG,success,2016-01-04,2026-08-06,2663,2,
CRM,success,2016-01-04,2026-08-06,2663,2,
BBVA,success,2016-01-04,2026-08-06,2663,2,
IBKR,success,2016-01-04,2026-08-06,2663,2,
PFE,success,2016-01-04,2026-08-06,2663,2,
DHR,success,2016-01-04,2026-08-06,2663,2,
APP,success,2021-04-15,2026-08-06,1334,2,
COP,success,2016-01-04,2026-08-06,2663,2,
UBER,success,2019-05-10,2026-08-06,1820,2,
CB,success,2016-01-04,2026-08-06,2663,2,
COF,success,2016-01-04,2026-08-06,2663,2,
GLW,success,2016-01-04,2026-08-06,2663,2,
ISRG,success,2016-01-04,2026-08-06,2663,2,
PLD,success,2016-01-04,2026-08-06,2663,2,
LMT,success,2016-01-04,2026-08-06,2663,2,
BMY,success,2016-01-04,2026-08-06,2663,2,
SYK,success,2016-01-04,2026-08-06,2663,2,
BMO,success,2016-01-04,2026-08-06,2663,2,
