ticker,expected_active,download_status,last_error
AAGRY,True,success,
AAUKF,True,success,
ABLZF,True,success,
ABTZY,True,success,
ABZPF,True,success,
ABZPY,True,success,
ACGBF,True,success,
ACGBY,True,success,
ACJJF,True,success,
ACKAY,True,success,
ACOLF,True,success,
ACPIF,True,success,
ADDHY,True,success,
ADTTF,True,success,
ADZZF,True,success,
AEORF,True,success,
AGPPF,True,success,
AGRPF,True,success,
AGRPY,True,success,
AHHLF,True,success,
AHICF,True,success,
AHKSF,True,success,
AICAF,True,success,
AICHF,True,success,
AIHZF,True,success,
AIKCF,True,success,
AINPF,True,success,
AIPUF,True,success,
AIQUF,True,success,
AIRYY,True,success,
AITUF,True,success,
AITUY,True,success,
AJINF,True,success,
AKAAF,True,success,
AKEJF,True,success,
ALFFF,True,success,
ALFRY,True,success,
ALFVF,True,success,
ALMMF,True,success,
ALNPF,True,success,
ALPMF,True,success,
AMANF,True,success,
AMDLY,True,success,
AMDWF,True,success,
AMKYF,True,success,
AMSYF,True,success,
AMXOF,True,success,
ANPDF,True,success,
ANTOF,True,success,
ANYCF,True,success,
ANZGF,True,success,
AONNF,True,success,
AOZOF,True,success,
AOZOY,True,success,
APELF,True,success,
APNHF,True,success,
APNHY,True,success,
ARGNF,True,success,
ARGPF,True,success,
ARHUF,True,success,
ASBHY,True,success,
ASBRF,True,success,
ASCCF,True,success,
ASEKF,True,success,
ASEKY,True,success,
ASKLF,True,success,
ASLTY,True,success,
ASMVF,True,success,
ASRMF,True,success,
ASUUY,True,success,
ATLFF,True,success,
ATLPF,True,success,
AUCTF,True,success,
AVIKF,True,success,
AVIVF,True,success,
AVVZF,True,success,
AWTRF,True,success,
AXAHF,True,success,
AXFOF,True,success,
AYAAF,True,success,
AYAAY,True,success,
AYALY,True,success,
AYYLF,True,success,
BABAF,True,success,
BACHF,True,success,
BACHY,True,success,
BAIDF,True,success,
BALDF,True,success,
BBAJF,True,success,
BBVXF,True,success,
BCCLF,True,success,
BCDRF,True,success,
BCLYF,True,success,
BCMXY,True,success,
BDOUF,True,success,
BDULF,True,success,
BDUUF,True,success,
BDUUY,True,success,
BDVSY,True,success,
BHPLF,True,success,
BIOVF,True,success,
BKALF,True,success,
BKHPF,True,success,
BKKPF,True,success,
BKRKF,True,success,
BKZHF,True,success,
BKZHY,True,success,
BLBLF,True,success,
BLJZY,True,success,
BLMIF,True,success,
BMBOY,True,success,
BMBRF,True,success,
BMLKF,True,success,
BNKHF,True,success,
BNXYF,True,success,
BPAQF,True,success,
BPHLF,True,success,
BPPPF,True,success,
BRDLF,True,success,
