ticker,status,first_date,last_date,row_count,attempt_count,last_error
AAGIY,success,2011-04-06,2026-08-04,3854,1,
AAGRY,success,2014-03-28,2026-08-03,3105,1,
AAIGF,success,2010-12-31,2026-08-03,3919,1,
AAPL,success,2010-01-04,2026-08-04,4171,1,
AAUKF,success,2010-01-04,2026-08-03,4170,1,
ABBNY,success,2010-01-04,2026-08-04,4171,1,
ABBV,success,2013-01-02,2026-08-04,3417,1,
ABEV,success,2010-01-04,2026-08-04,4171,1,
ABLZF,success,2010-01-04,2026-08-03,4170,1,
ABNB,success,2020-12-10,2026-08-04,1417,1,
ABOIF,success,2021-04-08,2026-08-03,1336,1,
ABT,success,2010-01-04,2026-08-04,4171,1,
ABTZY,success,2013-04-03,2026-08-03,3214,1,
ABZPF,success,2013-02-22,2026-08-03,2880,1,
ABZPY,success,2014-08-19,2026-08-03,3006,1,
ACGBF,success,2012-03-14,2026-08-03,3617,1,
ACGBY,success,2011-04-06,2026-08-04,3854,1,
ACJJF,success,2010-01-04,2026-08-03,4170,1,
ACKAY,success,2012-02-07,2026-08-03,3642,1,
ACN,success,2010-01-04,2026-08-04,4171,1,
ACOLF,success,2013-02-22,2026-08-03,3381,1,
ACPIF,success,2013-02-19,2026-08-03,3384,1,
ADBE,success,2010-01-04,2026-08-04,4171,1,
ADDHY,success,2023-02-08,2026-08-03,873,1,
ADI,success,2010-01-04,2026-08-04,4171,1,
ADP,success,2010-01-04,2026-08-04,4171,1,
ADTTF,success,2010-01-04,2026-08-04,4171,1,
ADZZF,success,2013-11-29,2026-08-03,3186,1,
AEBZY,success,2010-01-04,2026-08-03,4170,1,
AEM,success,2010-01-04,2026-08-04,4171,1,
AEORF,success,2025-01-03,2026-08-03,395,1,
AEP,success,2010-01-04,2026-08-04,4171,1,
AFL,success,2010-01-04,2026-08-04,4171,1,
AGPPF,success,2010-06-09,2026-08-03,4062,1,
AGRPF,success,2026-04-21,2026-08-03,72,1,
AGRPY,success,2010-01-04,2026-08-03,4170,1,
AHCHY,success,2010-01-05,2026-08-03,4169,1,
