ticker,status,first_date,last_date,row_count,attempt_count,last_error
A,success,2026-07-01,2026-08-05,25,1,
AA,success,2026-07-01,2026-08-05,25,1,
AAL,success,2026-07-01,2026-08-05,25,1,
AAMI,success,2026-07-01,2026-08-05,25,1,
AAOI,success,2026-07-01,2026-08-05,25,1,
AAON,success,2026-07-01,2026-08-05,25,1,
AAPL,success,2026-07-01,2026-08-05,25,1,
AAT,success,2026-07-01,2026-08-05,25,1,
AAUC,success,2026-07-01,2026-08-05,25,1,
ABBV,success,2026-07-01,2026-08-05,25,1,
ABCB,success,2026-07-01,2026-08-05,25,1,
ABCL,success,2026-07-01,2026-08-05,25,1,
ABG,success,2026-07-01,2026-08-05,25,1,
ABM,success,2026-07-01,2026-08-05,25,1,
ABNB,success,2026-07-01,2026-08-05,25,1,
ABT,success,2026-07-01,2026-08-05,25,1,
ACA,success,2026-07-01,2026-08-05,25,1,
ACAD,success,2026-07-01,2026-08-05,25,1,
ACGL,success,2026-07-01,2026-08-05,25,1,
ACHC,success,2026-07-01,2026-08-05,25,1,
ACHR,success,2026-07-01,2026-08-05,25,1,
ACI,success,2026-07-01,2026-08-05,25,1,
ACIW,success,2026-07-01,2026-08-05,25,1,
ACLS,success,2026-07-01,2026-08-05,25,1,
ACM,success,2026-07-01,2026-08-05,25,1,
ACMR,success,2026-07-01,2026-08-05,25,1,
ACN,success,2026-07-01,2026-08-05,25,1,
ACT,success,2026-07-01,2026-08-05,25,1,
AD,success,2026-07-01,2026-08-05,25,1,
ADBE,success,2026-07-01,2026-08-05,25,1,
ADC,success,2026-07-01,2026-08-05,25,1,
ADEA,success,2026-07-01,2026-08-05,25,1,
ADI,success,2026-07-01,2026-08-05,25,1,
ADM,success,2026-07-01,2026-08-05,25,1,
ADMA,success,2026-07-01,2026-08-05,25,1,
ADP,success,2026-07-01,2026-08-05,25,1,
ADPT,success,2026-07-01,2026-08-05,25,1,
ADSK,success,2026-07-01,2026-08-05,25,1,
ADT,success,2026-07-01,2026-08-05,25,1,
ADUS,success,2026-07-01,2026-08-05,25,1,
AEE,success,2026-07-01,2026-08-05,25,1,
AEHR,success,2026-07-01,2026-08-05,25,1,
AEIS,success,2026-07-01,2026-08-05,25,1,
AEM,success,2026-07-01,2026-08-05,25,1,
AEO,success,2026-07-01,2026-08-05,25,1,
AEP,success,2026-07-01,2026-08-05,25,1,
AER,success,2026-07-01,2026-08-05,25,1,
AES,success,2026-07-01,2026-08-05,25,1,
AFG,success,2026-07-01,2026-08-05,25,1,
AFL,success,2026-07-01,2026-08-05,25,1,
AFRM,success,2026-07-01,2026-08-05,25,1,
AG,success,2026-07-01,2026-08-05,25,1,
AGCO,success,2026-07-01,2026-08-05,25,1,
AGI,success,2026-07-01,2026-08-05,25,1,
AGIO,success,2026-07-01,2026-08-05,25,1,
AGL,success,2026-07-01,2026-08-05,25,1,
AGM,success,2026-07-01,2026-08-05,25,1,
AGM-A,success,2026-07-01,2026-08-05,25,1,
AGNC,success,2026-07-01,2026-08-05,25,1,
AGO,success,2026-07-01,2026-08-05,25,1,
AGX,success,2026-07-01,2026-08-05,25,1,
AGYS,success,2026-07-01,2026-08-05,25,1,
AHR,success,2026-07-01,2026-08-05,25,1,
AIG,success,2026-07-01,2026-08-05,25,1,
AIN,success,2026-07-01,2026-08-05,25,1,
AIR,success,2026-07-01,2026-08-05,25,1,
AIT,success,2026-07-01,2026-08-05,25,1,
AIZ,success,2026-07-01,2026-08-05,25,1,
