ticker,company_name,security_name,yahoo_exchange,listing_exchange,market_cap,exclusion_reason
AAPG,Ascentage Pharma Group Internat,Ascentage Pharma Group International - American Depository Shares,NGM,NASDAQ,1573198720,adr_or_ads
ABEV,Ambev S.A.,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYQ,NYSE,46821969920,adr_or_ads
ABVX,ABIVAX Société Anonyme,Abivax SA - American Depositary Shares,NGM,NASDAQ,10929076224,adr_or_ads
AERO,"Grupo Aeromexico, S.A.B. de C.V","Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",NYQ,NYSE,2356339968,adr_or_ads
AHG,Akso Health Group,Akso Health Group - American Depositary Shares,NCM,NASDAQ,1250788096,adr_or_ads
AMX,"América Móvil, S.A.B. de C.V.","America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",NYQ,NYSE,72061198336,adr_or_ads
ARGX,argenx SE,argenx SE - American Depositary Shares,NMS,NASDAQ,53975252992,adr_or_ads
ARM,Arm Holdings plc,Arm Holdings plc - American Depositary Shares,NMS,NASDAQ,293251022848,adr_or_ads
ASX,"ASE Technology Holding Co., Ltd.","ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares)",NYQ,NYSE,80872431616,adr_or_ads
ATAT,Atour Lifestyle Holdings Limited,Atour Lifestyle Holdings Limited - American Depositary Shares,NMS,NASDAQ,4814398464,adr_or_ads
ATHM,Autohome Inc.,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",NYQ,NYSE,2646627584,adr_or_ads
AVAL,Grupo Aval Acciones y Valores S.A.,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),NYQ,NYSE,6292021248,adr_or_ads
AXIA,AXIA Energia SA,AXIA Energia American Depositary Shares (Each representing one Common Share),NYQ,NYSE,23860400128,adr_or_ads
AZUL,Azul S.A.,"Azul S.A. American Depositary Shares, each representing two (2) Common Shares",NYQ,NYSE,1594012928,adr_or_ads
BABA,Alibaba Group Holding Limited,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYQ,NYSE,308069990400,adr_or_ads
BAK,Braskem S.A.,Braskem SA ADR,NYQ,NYSE,900574272,adr_or_ads
BBAR,Banco BBVA Argentina S.A.,Banco BBVA Argentina S.A. ADS,NYQ,NYSE,3647667456,adr_or_ads
BBD,Banco Bradesco S.A.,Banco Bradesco Sa American Depositary Shares,NYQ,NYSE,37836955648,adr_or_ads
BBDO,Banco Bradesco S.A.,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),NYQ,NYSE,34792603648,adr_or_ads
BCH,Banco de Chile,Banco De Chile ADS,NYQ,NYSE,21031755776,adr_or_ads
BEKE,KE Holdings Inc.,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),NYQ,NYSE,18653034496,adr_or_ads
BHP,BHP Group Limited,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYQ,NYSE,227056041984,adr_or_ads
BIDU,"Baidu, Inc.","Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",NMS,NASDAQ,37687013376,adr_or_ads
BILI,Bilibili Inc.,Bilibili Inc. - American Depositary Shares,NMS,NASDAQ,7775837184,adr_or_ads
BLTE,"Belite Bio, Inc","Belite Bio, Inc - American Depositary Shares",NCM,NASDAQ,6353486848,adr_or_ads
BMA,Banco Macro S.A.,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),NYQ,NYSE,5727019008,adr_or_ads
BNTX,BioNTech SE,BioNTech SE - American Depositary Shares,NMS,NASDAQ,23310870528,adr_or_ads
BSAC,Banco Santander-Chile,Banco Santander - Chile ADS,NYQ,NYSE,16606815232,adr_or_ads
BSBR,Banco Santander (Brasil) S.A.,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",NYQ,NYSE,21676392448,adr_or_ads
BTI,British American Tobacco p.l.c.,"British American Tobacco  Industries, p.l.c. Common Stock ADR",NYQ,NYSE,127840985088,adr_or_ads
BUD,Anheuser-Busch InBev SA/NV,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),NYQ,NYSE,167756529664,adr_or_ads
BZ,Kanzhun Limited,KANZHUN LIMITED - American Depository Shares,NMS,NASDAQ,7234633728,adr_or_ads
CDLR,Cadeler A/S,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),NYQ,NYSE,2192786176,adr_or_ads
CEPU,Central Puerto S.A.,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),NYQ,NYSE,2143303424,adr_or_ads
CHA,Chagee Holdings Limited,"Chagee Holdings Limited - American Depositary Shares, each representing 1 Class A ordinary share",NMS,NASDAQ,2092673792,adr_or_ads
CIB,Grupo Cibest S.A.,Grupo Cibest S.A. American Depositary Shares each representing four Preferred Shares,NYQ,NYSE,21387087872,adr_or_ads
CIG,Companhia Energética de Minas Gerais - CEMIG,Comp En De Mn Cemig ADS American Depositary Shares,NYQ,NYSE,6121859584,adr_or_ads
CIG-C,Companhia Energética de Minas Gerais - CEMIG,Comp En De Mn Cemig ADS American Depositary Receipts,NYQ,NYSE,9125575680,adr_or_ads
CMPS,COMPASS Pathways plc,COMPASS Pathways Plc - American Depository Shares,NMS,NASDAQ,1832611584,adr_or_ads
CPAC,Cementos Pacasmayo S.A.A.,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),NYQ,NYSE,1023175360,adr_or_ads
CSAN,Cosan S.A.,Cosan S.A. ADS,NYQ,NYSE,2997718528,adr_or_ads
CX,"CEMEX, S.A.B. de C.V.","Cemex, S.A.B. de C.V. Sponsored ADR",NYQ,NYSE,16666100736,adr_or_ads
DAO,"Youdao, Inc.","Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",NYQ,NYSE,2079741056,adr_or_ads
DDL,Dingdong (Cayman) Limited,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),NYQ,NYSE,487605376,adr_or_ads
DRD,DRDGOLD Limited,DRDGOLD Limited American Depositary Shares,NYQ,NYSE,1983738624,adr_or_ads
DSC,DSC Holdings Ltd.,DSC Holdings Ltd. - American Depositary Shares,NGM,NASDAQ,300935680,adr_or_ads
EC,Ecopetrol S.A.,Ecopetrol S.A. American Depositary Shares,NYQ,NYSE,33695129600,adr_or_ads
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,NYQ,NYSE,1215996160,adr_or_ads
EDU,New Oriental Education & Technology Group Inc.,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",NYQ,NYSE,9490921472,adr_or_ads
EH,EHang Holdings Limited,EHang Holdings Limited - ADS,NGM,NASDAQ,405772672,adr_or_ads
ELPC,Companhia Paranaense de Energia,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),NYQ,NYSE,8604446720,adr_or_ads
ENIC,Enel Chile S.A.,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),NYQ,NYSE,6211156992,adr_or_ads
ENRD,Einride AB,Einride AB - American Depositary Shares,NGM,NASDAQ,728203072,adr_or_ads
ERIC,Telefonaktiebolaget LM Ericsson (publ),Ericsson - American Depositary Shares each representing 1 underlying Class B share,NMS,NASDAQ,32998637568,adr_or_ads
FINV,FinVolution Group,FinVolution Group American Depositary Shares,NYQ,NYSE,1154499584,adr_or_ads
FMS,Fresenius Medical Care AG,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),NYQ,NYSE,12832018432,adr_or_ads
FUTU,Futu Holdings Limited,Futu Holdings Limited - American Depositary Shares,NGM,NASDAQ,15452237824,adr_or_ads
GDS,GDS Holdings Limited,GDS Holdings Limited - American Depositary Shares,NGM,NASDAQ,6546336256,adr_or_ads
GFI,Gold Fields Limited,Gold Fields Limited American Depositary Shares,NYQ,NYSE,33352869888,adr_or_ads
