ticker,sector,industry,updated_at
NVDA,Technology,Semiconductors,2026-09-12
AAPL,Technology,Consumer Electronics,2026-09-12
GOOGL,Communication Services,Internet Content & Information,2026-09-12
GOOG,Communication Services,Internet Content & Information,2026-09-12
MSFT,Technology,Software - Infrastructure,2026-09-12
AMZN,Consumer Cyclical,Internet Retail,2026-09-12
AVGO,Technology,Semiconductors,2026-09-12
META,Communication Services,Internet Content & Information,2026-09-12
SPCX,Industrials,Aerospace & Defense,2026-09-12
TSLA,Consumer Cyclical,Auto Manufacturers,2026-09-12
BRK-B,Financial Services,Insurance - Diversified,2026-09-12
BRK-A,Financial Services,Insurance - Diversified,2026-09-12
LLY,Healthcare,Drug Manufacturers - General,2026-09-12
MU,Technology,Semiconductors,2026-09-12
JPM,Financial Services,Banks - Diversified,2026-09-12
WMT,Consumer Defensive,Discount Stores,2026-09-12
AMD,Technology,Semiconductors,2026-09-12
XOM,Energy,Oil & Gas Integrated,2026-09-12
JNJ,Healthcare,Drug Manufacturers - General,2026-09-12
INTC,Technology,Semiconductors,2026-09-12
MA,Financial Services,Credit Services,2026-09-12
CSCO,Technology,Communication Equipment,2026-09-12
BAC,Financial Services,Banks - Diversified,2026-09-12
ABBV,Healthcare,Drug Manufacturers - General,2026-09-12
AMAT,Technology,Semiconductor Equipment & Materials,2026-09-12
COST,Consumer Defensive,Discount Stores,2026-09-12
ORCL,Technology,Software - Infrastructure,2026-09-12
CAT,Industrials,Farm & Heavy Construction Machinery,2026-09-12
GE,Industrials,Aerospace & Defense,2026-09-12
LRCX,Technology,Semiconductor Equipment & Materials,2026-09-12
PLTR,Technology,Software - Infrastructure,2026-09-12
UNH,Healthcare,Healthcare Plans,2026-09-12
KO,Consumer Defensive,Beverages - Non-Alcoholic,2026-09-12
CVX,Energy,Oil & Gas Integrated,2026-09-12
HSBC,Financial Services,Banks - Diversified,2026-09-12
HD,Consumer Cyclical,Home Improvement Retail,2026-09-12
MS,Financial Services,Capital Markets,2026-09-12
PG,Consumer Defensive,Household & Personal Products,2026-09-12
MRK,Healthcare,Drug Manufacturers - General,2026-09-12
GS,Financial Services,Capital Markets,2026-09-12
NFLX,Communication Services,Entertainment,2026-09-12
RTX,Industrials,Aerospace & Defense,2026-09-12
DELL,Technology,Computer Hardware,2026-09-12
PANW,Technology,Software - Infrastructure,2026-09-12
PM,Consumer Defensive,Tobacco,2026-09-12
RY,Financial Services,Banks - Diversified,2026-09-12
NVS,Healthcare,Drug Manufacturers - General,2026-09-12
GEV,Industrials,Specialty Industrial Machinery,2026-09-12
WFC,Financial Services,Banks - Diversified,2026-09-12
TXN,Technology,Semiconductors,2026-09-12
MUFG,Financial Services,Banks - Diversified,2026-09-12
KLAC,Technology,Semiconductor Equipment & Materials,2026-09-12
AZN,Healthcare,Drug Manufacturers - General,2026-09-12
ANET,Technology,Computer Hardware,2026-09-12
AXP,Financial Services,Credit Services,2026-09-12
C,Financial Services,Banks - Diversified,2026-09-12
LIN,Basic Materials,Specialty Chemicals,2026-09-12
IBM,Technology,Information Technology Services,2026-09-12
TM,Consumer Cyclical,Auto Manufacturers,2026-09-12
AMGN,Healthcare,Drug Manufacturers - General,2026-09-12
CRWD,Technology,Software - Infrastructure,2026-09-12
TMO,Healthcare,Diagnostics & Research,2026-09-12
APH,Technology,Electronic Components,2026-09-12
TD,Financial Services,Banks - Diversified,2026-09-12
SNDK,Technology,Computer Hardware,2026-09-12
NVO,Healthcare,Drug Manufacturers - General,2026-09-12
MCD,Consumer Cyclical,Restaurants,2026-09-12
VZ,Communication Services,Telecom Services,2026-09-12
STX,Technology,Computer Hardware,2026-09-12
BA,Industrials,Aerospace & Defense,2026-09-12
PEP,Consumer Defensive,Beverages - Non-Alcoholic,2026-09-12
MRVL,Technology,Semiconductors,2026-09-12
TTE,Energy,Oil & Gas Integrated,2026-09-12
SCHW,Financial Services,Capital Markets,2026-09-12
SHOP,Technology,Software - Application,2026-09-12
TMUS,Communication Services,Telecom Services,2026-09-12
BLK,Financial Services,Asset Management,2026-09-12
ADI,Technology,Semiconductors,2026-09-12
ABT,Healthcare,Medical Devices,2026-09-12
NEE,Utilities,Utilities - Regulated Electric,2026-09-12
WDC,Technology,Computer Hardware,2026-09-12
DIS,Communication Services,Entertainment,2026-09-12
TJX,Consumer Cyclical,Apparel Retail,2026-09-12
UBS,Financial Services,Banks - Diversified,2026-09-12
UNP,Industrials,Railroads,2026-09-12
ETN,Industrials,Specialty Industrial Machinery,2026-09-12
WELL,Real Estate,REIT - Healthcare Facilities,2026-09-12
BX,Financial Services,Asset Management,2026-09-12
QCOM,Technology,Semiconductors,2026-09-12
DE,Industrials,Farm & Heavy Construction Machinery,2026-09-12
RIO,Basic Materials,Other Industrial Metals & Mining,2026-09-12
SCCO,Basic Materials,Copper,2026-09-12
GILD,Healthcare,Drug Manufacturers - General,2026-09-12
BKNG,Consumer Cyclical,Travel Services,2026-09-12
CRM,Technology,Software - Application,2026-09-12
BBVA,Financial Services,Banks - Diversified,2026-09-12
IBKR,Financial Services,Capital Markets,2026-09-12
PFE,Healthcare,Drug Manufacturers - General,2026-09-12
DHR,Healthcare,Diagnostics & Research,2026-09-12
APP,Communication Services,Advertising Agencies,2026-09-12
COP,Energy,Oil & Gas E&P,2026-09-12
UBER,Technology,Software - Application,2026-09-12
CB,Financial Services,Insurance - Property & Casualty,2026-09-12
COF,Financial Services,Credit Services,2026-09-12
GLW,Technology,Electronic Components,2026-09-12
ISRG,Healthcare,Medical Instruments & Supplies,2026-09-12
PLD,Real Estate,REIT - Industrial,2026-09-12
LMT,Industrials,Aerospace & Defense,2026-09-12
BMY,Healthcare,Drug Manufacturers - General,2026-09-12
SYK,Healthcare,Medical Devices,2026-09-12
BMO,Financial Services,Banks - Diversified,2026-09-12
CVS,Healthcare,Healthcare Plans,2026-09-12
PH,Industrials,Specialty Industrial Machinery,2026-09-12
PGR,Financial Services,Insurance - Property & Casualty,2026-09-12
LOW,Consumer Cyclical,Home Improvement Retail,2026-09-12
VRTX,Healthcare,Biotechnology,2026-09-12
HDB,Financial Services,Banks - Regional,2026-09-12
NOW,Technology,Software - Application,2026-09-12
SPGI,Financial Services,Financial Data & Stock Exchanges,2026-09-12
SBUX,Consumer Cyclical,Restaurants,2026-09-12
FTNT,Technology,Software - Infrastructure,2026-09-12
HWM,Industrials,Aerospace & Defense,2026-09-12
ENB,Energy,Oil & Gas Midstream,2026-09-12
MDT,Healthcare,Medical Devices,2026-09-12
SNOW,Technology,Software - Application,2026-09-12
IBN,Financial Services,Banks - Regional,2026-09-12
BNY,Financial Services,Banks - Diversified,2026-09-12
ADP,Technology,Software - Application,2026-09-12
SO,Utilities,Utilities - Regulated Electric,2026-09-12
VRT,Industrials,Electrical Equipment & Parts,2026-09-12
BP,Energy,Oil & Gas Integrated,2026-09-12
ACN,Technology,Information Technology Services,2026-09-12
EQIX,Real Estate,REIT - Specialty,2026-09-12
NET,Technology,Software - Infrastructure,2026-09-12
GD,Industrials,Aerospace & Defense,2026-09-12
CVNA,Consumer Cyclical,Auto & Truck Dealerships,2026-09-12
ADBE,Technology,Software - Application,2026-09-12
MCK,Healthcare,Medical Distribution,2026-09-12
PWR,Industrials,Engineering & Construction,2026-09-12
ING,Financial Services,Banks - Diversified,2026-09-12
PNC,Financial Services,Banks - Regional,2026-09-12
DDOG,Technology,Software - Application,2026-09-12
USB,Financial Services,Banks - Regional,2026-09-12
